IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.28.184.18,metasplotable3.netwho.lan,80,tcp,10.0,High,95,"VendorFix","Drupal Coder RCE Vulnerability (SA-CONTRIB-2016-039) - Active Check","Drupal is prone to a remote code execution (RCE)
  vulnerability.","Vulnerable URL: http://metasplotable3.netwho.lan/drupal/sites/all/modules/coder/coder_upgrade/scripts/coder_upgrade.run.php
",1.3.6.1.4.1.25623.1.0.105818,"",84df6c54-e780-4021-9ee3-cf87ffadc181,"netwho.lan Matasploitable",2025-10-12T10:24:26Z,3584bd43-d08c-4243-805a-0719e7dfaff3,"","Install the latest version.","","The Coder module checks your Drupal code against coding
  standards and other best practices. It can also fix coding standard violations and perform basic
  upgrades on modules. The module doesn't sufficiently validate user inputs in a script file that
  has the php extension. A malicious unauthenticated user can make requests directly to this file to
  execute arbitrary php code.","Checks for known error message from affected modules.
Details:
Drupal Coder RCE Vulnerability (SA-CONTRIB-2016-039) - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.105818)
Version used: 2023-07-21T05:05:22Z
","","","",""
172.28.184.18,metasplotable3.netwho.lan,21,tcp,10.0,High,99,"VendorFix","ProFTPD mod_copy Unauthenticated Copying Of Files Via SITE CPFR/CPTO Vulnerability (Apr 2015) - Active Check","ProFTPD is prone to an unauthenticated copying of files
  vulnerability.","The target was found to be vulnerable
",1.3.6.1.4.1.25623.1.0.105254,"CVE-2015-3306",84df6c54-e780-4021-9ee3-cf87ffadc181,"netwho.lan Matasploitable",2025-10-12T10:24:26Z,3e590a66-5320-4d43-a526-4f5e2d5088d8,"Under some circumstances this could result in remote code
  execution.","Ask the vendor for an update.","","","Tries to copy /etc/passwd to /tmp/passwd.copy with SITE
  CPFR/CPTO command.
Details:
ProFTPD 'mod_copy' Unauthenticated Copying Of Files Via SITE CPFR/CPTO Vulne...
(OID: 1.3.6.1.4.1.25623.1.0.105254)
Version used: 2025-09-24T05:39:03Z
","","","DFN-CERT-2015-0839,DFN-CERT-2015-0576,CB-K15/0791,CB-K15/0553",""
172.28.184.18,metasplotable3.netwho.lan,,,10.0,High,80,"Mitigation","Operating System (OS) End of Life (EOL) Detection","The Operating System (OS) on the remote host has reached the end
  of life (EOL) and should not be used anymore.","The ""Ubuntu"" Operating System on the remote host has reached the end of life.

CPE:               cpe:/o:canonical:ubuntu_linux:14.04
Installed version,
build or SP:       14.04
EOL date:          2024-04-01
EOL info:          https://wiki.ubuntu.com/Releases
",1.3.6.1.4.1.25623.1.0.103674,"",84df6c54-e780-4021-9ee3-cf87ffadc181,"netwho.lan Matasploitable",2025-10-12T10:24:26Z,72be2a6e-ec09-4498-9cdc-d0eea17d8ddd,"An EOL version of an OS is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update the OS on the remote host to a version which is still
  supported and receiving security updates by the vendor.

  Note / Important: Please create an override for this result if the target host is a:

  - Windows system with Extended Security Updates (ESU)

  - System with additional 3rd-party / non-vendor security updates like e.g. from 'TuxCare',
  'Freexian Extended LTS' or similar","","","Checks if an EOL version of an OS is present on the target
  host.
Details:
Operating System (OS) End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.103674)
Version used: 2025-05-21T05:40:19Z
","Product: cpe:/o:canonical:ubuntu_linux:14.04
Method: OS Detection Consolidation and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.105937)
","","",""
172.28.184.18,metasplotable3.netwho.lan,22,tcp,9.8,High,95,"Mitigation","SSH Brute Force Logins With Default Credentials Reporting","It was possible to login into the remote SSH server using
  default credentials.","It was possible to login with the following credentials <User>:<Password>

vagrant:vagrant
",1.3.6.1.4.1.25623.1.0.103239,"CVE-1999-0501,CVE-1999-0502,CVE-1999-0507,CVE-1999-0508,CVE-2005-1379,CVE-2006-5288,CVE-2009-3710,CVE-2012-4577,CVE-2016-1000245,CVE-2017-16523,CVE-2020-29583,CVE-2020-9473,CVE-2021-27797,CVE-2023-1944,CVE-2024-22902,CVE-2024-31970,CVE-2024-46328",84df6c54-e780-4021-9ee3-cf87ffadc181,"netwho.lan Matasploitable",2025-10-12T10:24:26Z,beefa0e0-03cc-4eb9-96fc-f7d3aec72c2c,"This issue may be exploited by a remote attacker to e.g. gain
  access to sensitive information or modify system configuration.","Change the password as soon as possible.","The following products are known to use the default credentials
  checked by the VT 'SSH Brute Force Logins With Default Credentials' (OID:
  1.3.6.1.4.1.25623.1.0.108013) used for this reporting:

  - CVE-2017-16523: MitraStar GPT-2541GNAC (HGU) 1.00(VNJ0)b1 and DSL-100HN-T1 ES_113WJY0b16 devices

  - CVE-2020-29583: Zyxel Firewall / AP Controller

  - CVE-2020-9473: S. Siedle & Soehne SG 150-0 Smart Gateway before 1.2.4

  - CVE-2021-27797: Brocade Fabric OS

  - CVE-2023-1944: minikube 1.29.0 and probably prior

  - CVE-2024-22902: Vinchin Backup & Recovery

  - CVE-2024-31970: AdTran SRG 834-5 HDC17600021F1 devices (with SmartOS 11.1.1.1) during a window
  of time when the device is being set up

  - CVE-2024-46328: VONETS VAP11G-300 v3.3.23.6.9

  - Various additional products like e.g. Ubiquiti EdgeMax / EdgeRouter, Crestron AM-100 and similar
  for which no CVE was assigned (See 'default_credentials.inc' file on the file system for a full
  list)

  Other products might be affected as well.","As the VT 'SSH Brute Force Logins With Default Credentials'
  (OID: 1.3.6.1.4.1.25623.1.0.108013) might run into a timeout the actual reporting of this
  vulnerability takes place in this VT instead.","Reports default credentials detected by the VT
  'SSH Brute Force Logins With Default Credentials' (OID: 1.3.6.1.4.1.25623.1.0.108013).
Details:
SSH Brute Force Logins With Default Credentials Reporting
(OID: 1.3.6.1.4.1.25623.1.0.103239)
Version used: 2025-04-04T05:39:39Z
","","","",""
172.28.184.18,metasplotable3.netwho.lan,631,tcp,7.5,High,98,"Mitigation","SSL/TLS: Report Vulnerable Cipher Suites for HTTPS","This routine reports all SSL/TLS cipher suites accepted by a
  service where attack vectors exists only on HTTPS services.","'Vulnerable' cipher suites accepted by this service via the TLSv1.0 protocol:

TLS_RSA_WITH_3DES_EDE_CBC_SHA (SWEET32)

'Vulnerable' cipher suites accepted by this service via the TLSv1.1 protocol:

TLS_RSA_WITH_3DES_EDE_CBC_SHA (SWEET32)

'Vulnerable' cipher suites accepted by this service via the TLSv1.2 protocol:

TLS_RSA_WITH_3DES_EDE_CBC_SHA (SWEET32)


",1.3.6.1.4.1.25623.1.0.108031,"CVE-2016-2183,CVE-2016-6329,CVE-2020-12872",84df6c54-e780-4021-9ee3-cf87ffadc181,"netwho.lan Matasploitable",2025-10-12T10:24:26Z,40aec264-f479-4863-9a3b-3cc9804c99d7,"This could allow remote attackers to obtain sensitive information
  or have other, unspecified impacts.","The configuration of this services should be changed so
  that it does not accept the listed cipher suites anymore.

  Please see the references for more resources supporting you with this task.","All services accepting vulnerable SSL/TLS cipher suites via
  HTTPS.","These rules are applied for the evaluation of the vulnerable
  cipher suites:

  - 64-bit block cipher 3DES vulnerable to the SWEET32 attack (CVE-2016-2183).","Checks previous collected cipher suites.
Details:
SSL/TLS: Report Vulnerable Cipher Suites for HTTPS
(OID: 1.3.6.1.4.1.25623.1.0.108031)
Version used: 2025-03-27T05:38:50Z
","Product: cpe:/a:ietf:transport_layer_security
Method: SSL/TLS: Report Supported Cipher Suites
(OID: 1.3.6.1.4.1.25623.1.0.802067)
","","DFN-CERT-2025-0041,DFN-CERT-2021-1618,DFN-CERT-2021-0775,DFN-CERT-2021-0770,DFN-CERT-2021-0274,DFN-CERT-2020-2141,DFN-CERT-2020-0368,DFN-CERT-2019-1455,DFN-CERT-2019-0068,DFN-CERT-2018-1296,DFN-CERT-2018-0323,DFN-CERT-2017-2070,DFN-CERT-2017-1954,DFN-CERT-2017-1885,DFN-CERT-2017-1831,DFN-CERT-2017-1821,DFN-CERT-2017-1785,DFN-CERT-2017-1626,DFN-CERT-2017-1326,DFN-CERT-2017-1239,DFN-CERT-2017-1238,DFN-CERT-2017-1090,DFN-CERT-2017-1060,DFN-CERT-2017-0968,DFN-CERT-2017-0947,DFN-CERT-2017-0946,DFN-CERT-2017-0904,DFN-CERT-2017-0816,DFN-CERT-2017-0746,DFN-CERT-2017-0677,DFN-CERT-2017-0675,DFN-CERT-2017-0611,DFN-CERT-2017-0609,DFN-CERT-2017-0522,DFN-CERT-2017-0519,DFN-CERT-2017-0482,DFN-CERT-2017-0351,DFN-CERT-2017-0090,DFN-CERT-2017-0089,DFN-CERT-2017-0088,DFN-CERT-2017-0086,DFN-CERT-2016-1943,DFN-CERT-2016-1937,DFN-CERT-2016-1732,DFN-CERT-2016-1726,DFN-CERT-2016-1715,DFN-CERT-2016-1714,DFN-CERT-2016-1588,DFN-CERT-2016-1555,DFN-CERT-2016-1391,DFN-CERT-2016-1378,WID-SEC-2024-1277,WID-SEC-2024-0209,WID-SEC-2024-0064,WID-SEC-2022-2226,WID-SEC-2022-1955,CB-K21/1094,CB-K20/1023,CB-K20/0321,CB-K20/0314,CB-K20/0157,CB-K19/0618,CB-K19/0615,CB-K18/0296,CB-K17/1980,CB-K17/1871,CB-K17/1803,CB-K17/1753,CB-K17/1750,CB-K17/1709,CB-K17/1558,CB-K17/1273,CB-K17/1202,CB-K17/1196,CB-K17/1055,CB-K17/1026,CB-K17/0939,CB-K17/0917,CB-K17/0915,CB-K17/0877,CB-K17/0796,CB-K17/0724,CB-K17/0661,CB-K17/0657,CB-K17/0582,CB-K17/0581,CB-K17/0506,CB-K17/0504,CB-K17/0467,CB-K17/0345,CB-K17/0098,CB-K17/0089,CB-K17/0086,CB-K17/0082,CB-K16/1837,CB-K16/1830,CB-K16/1635,CB-K16/1630,CB-K16/1624,CB-K16/1622,CB-K16/1500,CB-K16/1465,CB-K16/1307,CB-K16/1296",""
172.28.184.18,metasplotable3.netwho.lan,80,tcp,7.5,High,98,"VendorFix","Drupal Core SQLi Vulnerability (SA-CORE-2014-005) - Active Check","Drupal is prone to an SQL injection (SQLi) vulnerability.","Vulnerable URL: http://metasplotable3.netwho.lan/drupal/?q=node&destination=node
",1.3.6.1.4.1.25623.1.0.105101,"CVE-2014-3704",84df6c54-e780-4021-9ee3-cf87ffadc181,"netwho.lan Matasploitable",2025-10-12T10:24:26Z,2ef0beaf-aefc-4c23-9c16-f0a19f2dda25,"Exploiting this issue could allow an attacker to execute
  arbitrary code, to gain elevated privileges and to compromise the application, access or modify
  data, or exploit latent vulnerabilities in the underlying database.","Updates are available. Please see the references for more
  information.","Drupal 7.x versions prior to 7.32 are vulnerable.","Drupal fails to sufficiently sanitize user-supplied data before
  using it in an SQL query.","Sends a special crafted HTTP POST request and checks the
  response.
Details:
Drupal Core SQLi Vulnerability (SA-CORE-2014-005) - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.105101)
Version used: 2023-07-26T05:05:09Z
","","","DFN-CERT-2014-1369,DFN-CERT-2014-0958,CB-K14/1301,CB-K14/0920",""
172.28.184.18,metasplotable3.netwho.lan,21,tcp,7.5,High,95,"Mitigation","FTP Brute Force Logins With Default Credentials Reporting","It was possible to login into the remote FTP server using
  weak/known credentials.","It was possible to login with the following credentials <User>:<Password>

vagrant:vagrant
",1.3.6.1.4.1.25623.1.0.108718,"CVE-1999-0501,CVE-1999-0502,CVE-1999-0507,CVE-1999-0508,CVE-2001-1594,CVE-2013-7404,CVE-2014-9198,CVE-2015-7261,CVE-2016-8731,CVE-2017-8218,CVE-2018-9068,CVE-2018-17771,CVE-2018-19063,CVE-2018-19064",84df6c54-e780-4021-9ee3-cf87ffadc181,"netwho.lan Matasploitable",2025-10-12T10:24:26Z,ebe2dafe-fc08-44c3-801e-5abb6a587315,"This issue may be exploited by a remote attacker to e.g. gain
  access to sensitive information or modify system configuration.","Change the password as soon as possible.","","The following devices are / software is known to be affected:

  - CVE-2001-1594: Codonics printer FTP service as used in GE Healthcare eNTEGRA P&R

  - CVE-2013-7404: GE Healthcare Discovery NM 750b

  - CVE-2014-9198: Schneider Electric ETG3000 FactoryCast HMI gateways

  - CVE-2015-7261: QNAP iArtist Lite distributed with QNAP Signage Station

  - CVE-2016-8731: Foscam C1 devices

  - CVE-2017-8218: vsftpd on TP-Link C2 and C20i devices

  - CVE-2018-9068: IMM2 for IBM and Lenovo System x

  - CVE-2018-17771: Ingenico Telium 2 PoS terminals

  - CVE-2018-19063, CVE-2018-19064: Foscam C2 and Opticam i5 devices

  Note: As the VT 'FTP Brute Force Logins With Default Credentials' (OID:
  1.3.6.1.4.1.25623.1.0.108717) might run into a timeout the actual reporting of this vulnerability
  takes place in this VT instead.","Reports weak/known credentials detected by the VT
  'FTP Brute Force Logins With Default Credentials' (OID: 1.3.6.1.4.1.25623.1.0.108717).
Details:
FTP Brute Force Logins With Default Credentials Reporting
(OID: 1.3.6.1.4.1.25623.1.0.108718)
Version used: 2025-05-13T05:41:39Z
","","","",""
172.28.184.18,metasplotable3.netwho.lan,80,tcp,7.5,High,99,"Mitigation","Test HTTP dangerous methods","Misconfigured web servers allows remote clients to perform
  dangerous HTTP methods such as PUT and DELETE.","We could upload the following files via the PUT method at this web server:

http://metasplotable3.netwho.lan/uploads/puttest123744309.html
http://metasplotable3.netwho.lan/uploads/qExIwckK.htm/puttest843171865.html

We could delete the following files via the DELETE method at this web server:

http://metasplotable3.netwho.lan/uploads/puttest123744309.html
http://metasplotable3.netwho.lan/uploads/qExIwckK.htm/puttest843171865.html


",1.3.6.1.4.1.25623.1.0.10498,"",84df6c54-e780-4021-9ee3-cf87ffadc181,"netwho.lan Matasploitable",2025-10-12T10:24:26Z,652ea28d-36ae-4dc4-a146-494eb4db603d,"'- Enabled PUT method: This might allow an attacker to upload
  and run arbitrary code on this web server.

  - Enabled DELETE method: This might allow an attacker to delete additional files on this web
  server.","Use access restrictions to these dangerous HTTP methods
  or disable them completely.","Web servers with enabled PUT and/or DELETE methods.","","Checks if dangerous HTTP methods such as PUT and DELETE are
  enabled and can be misused to upload or delete files.
Details:
Test HTTP dangerous methods
(OID: 1.3.6.1.4.1.25623.1.0.10498)
Version used: 2023-08-01T13:29:10Z
","","","",""
172.28.184.18,metasplotable3.netwho.lan,80,tcp,6.1,Medium,80,"VendorFix","jQuery < 1.9.0 XSS Vulnerability","jQuery is prone to a cross-site scripting (XSS)
  vulnerability.","Installed version: 1.6.2
Fixed version:     1.9.0
Installation
path / port:       /phpmyadmin/js/jquery/jquery-1.6.2.js

Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: http://metasplotable3.netwho.lan/phpmyadmin/js/jquery/jquery-1.6.2.js
- Referenced at:   http://metasplotable3.netwho.lan/phpmyadmin/
",1.3.6.1.4.1.25623.1.0.141636,"CVE-2012-6708",84df6c54-e780-4021-9ee3-cf87ffadc181,"netwho.lan Matasploitable",2025-10-12T10:24:26Z,fa9fe757-4e1e-4a2c-ac60-90428d71953e,"","Update to version 1.9.0 or later.","jQuery prior to version 1.9.0.","The jQuery(strInput) function does not differentiate selectors
  from HTML in a reliable fashion. In vulnerable versions, jQuery determined whether the input was
  HTML by looking for the '<' character anywhere in the string, giving attackers more flexibility
  when attempting to construct a malicious payload. In fixed versions, jQuery only deems the input
  to be HTML if it explicitly starts with the '<' character, limiting exploitability only to
  attackers who can control the beginning of a string, which is far less common.","Checks if a vulnerable version is present on the target host.
Details:
jQuery < 1.9.0 XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141636)
Version used: 2023-07-14T05:06:08Z
","","","DFN-CERT-2025-1803,DFN-CERT-2023-1197,DFN-CERT-2020-0590,WID-SEC-2022-0673,CB-K22/0045,CB-K18/1131",""
172.28.184.18,metasplotable3.netwho.lan,80,tcp,6.1,Medium,80,"VendorFix","jQuery < 1.9.0 XSS Vulnerability","jQuery is prone to a cross-site scripting (XSS)
  vulnerability.","Installed version: 1.6.2
Fixed version:     1.9.0
Installation
path / port:       /phpmyadmin/setup/../js/jquery/jquery-1.6.2.js

Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: http://metasplotable3.netwho.lan/phpmyadmin/setup/../js/jquery/jquery-1.6.2.js
- Referenced at:   http://metasplotable3.netwho.lan/phpmyadmin/setup/
",1.3.6.1.4.1.25623.1.0.141636,"CVE-2012-6708",84df6c54-e780-4021-9ee3-cf87ffadc181,"netwho.lan Matasploitable",2025-10-12T10:24:26Z,6d052c94-eddf-4f31-831a-046eb39dde23,"","Update to version 1.9.0 or later.","jQuery prior to version 1.9.0.","The jQuery(strInput) function does not differentiate selectors
  from HTML in a reliable fashion. In vulnerable versions, jQuery determined whether the input was
  HTML by looking for the '<' character anywhere in the string, giving attackers more flexibility
  when attempting to construct a malicious payload. In fixed versions, jQuery only deems the input
  to be HTML if it explicitly starts with the '<' character, limiting exploitability only to
  attackers who can control the beginning of a string, which is far less common.","Checks if a vulnerable version is present on the target host.
Details:
jQuery < 1.9.0 XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141636)
Version used: 2023-07-14T05:06:08Z
","","","DFN-CERT-2025-1803,DFN-CERT-2023-1197,DFN-CERT-2020-0590,WID-SEC-2022-0673,CB-K22/0045,CB-K18/1131",""
172.28.184.18,metasplotable3.netwho.lan,22,tcp,5.3,Medium,80,"Mitigation","Weak Host Key Algorithm(s) (SSH)","The remote SSH server is configured to allow / support weak host
  key algorithm(s).","The remote SSH server supports the following weak host key algorithm(s):

host key algorithm | Description
-----------------------------------------------------------------------------------------
ssh-dss            | Digital Signature Algorithm (DSA) / Digital Signature Standard (DSS)
",1.3.6.1.4.1.25623.1.0.117687,"",84df6c54-e780-4021-9ee3-cf87ffadc181,"netwho.lan Matasploitable",2025-10-12T10:24:26Z,fb9c4a5e-1f8e-47ec-ae2a-6858da762b03,"","Disable the reported weak host key algorithm(s).","","","Checks the supported host key algorithms of the remote SSH
  server.

  Currently weak host key algorithms are defined as the following:

  - ssh-dss: Digital Signature Algorithm (DSA) / Digital Signature Standard (DSS)
Details:
Weak Host Key Algorithm(s) (SSH)
(OID: 1.3.6.1.4.1.25623.1.0.117687)
Version used: 2024-06-14T05:05:48Z
","Product: cpe:/a:ietf:secure_shell_protocol
Method: SSH Protocol Algorithms Supported
(OID: 1.3.6.1.4.1.25623.1.0.105565)
","","",""
